start_time,end_time,low_freq,high_freq,event,detection_confidence,input_file
22.0615,22.078,24609.0,28591.0,Echolocation,0.52,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
22.3505,22.3673,23750.0,28370.0,Echolocation,0.648,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
23.0955,23.1113,24609.0,28167.0,Echolocation,0.538,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
24.3225,24.3393,23750.0,29015.0,Echolocation,0.589,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
24.8255,24.84,23750.0,28949.0,Echolocation,0.574,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
24.9785,24.9915,25468.0,30853.0,Echolocation,0.542,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
25.9355,25.9485,24609.0,29755.0,Echolocation,0.681,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
26.0915,26.1049,25468.0,32023.0,Echolocation,0.556,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
29.8385,29.8529,24609.0,29718.0,Echolocation,0.568,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
7.9699968000000005,8.13056,20355.72,52865.6,Feeding Buzz,0.2711067010409003,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
8.029183999999999,8.30976,14328.0,46442.7,Feeding Buzz,0.3099683735258737,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
30.1235,30.1359,24609.0,30297.0,Echolocation,0.549,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
30.2675,30.2807,25468.0,30039.0,Echolocation,0.551,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
30.7665,30.7785,24609.0,31343.0,Echolocation,0.602,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
30.8955,30.9073,24609.0,32046.0,Echolocation,0.636,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
31.0165,31.0261,25468.0,32525.0,Echolocation,0.564,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
32.0345,32.045,26328.0,32211.0,Echolocation,0.586,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
32.161500000000004,32.175399999999996,24609.0,32545.0,Echolocation,0.628,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
32.2175,32.2343,23750.0,28936.0,Echolocation,0.534,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
32.3055,32.3189,25468.0,32300.0,Echolocation,0.562,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
32.5605,32.5757,24609.0,33694.0,Echolocation,0.609,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
32.658500000000004,32.6729,24609.0,29325.0,Echolocation,0.583,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
32.7055,32.7192,25468.0,36033.0,Echolocation,0.657,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
32.8095,32.823,24609.0,29237.0,Echolocation,0.686,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
32.8525,32.8662,24609.0,33488.0,Echolocation,0.604,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
32.9615,32.9762,24609.0,28283.0,Echolocation,0.671,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
33.1085,33.1236,25468.0,32860.0,Echolocation,0.563,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
33.3745,33.3894,24609.0,33914.0,Echolocation,0.585,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
33.536500000000004,33.5524,24609.0,33853.0,Echolocation,0.59,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
33.7955,33.812,23750.0,34070.0,Echolocation,0.601,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
33.9455,33.96,24609.0,33398.0,Echolocation,0.538,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
34.0945,34.1098,24609.0,35763.0,Echolocation,0.657,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
34.3675,34.3868,22890.0,34607.0,Echolocation,0.569,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
34.4945,34.5088,24609.0,36099.0,Echolocation,0.646,../input_dir/20210910_030000__5%DUTYCYCLE_1400secOFFSET.WAV
