start_time,end_time,low_freq,high_freq,event,detection_confidence,input_file
33.7495,33.7615,25468.0,35209.0,Echolocation,0.672,/Users/adityakrishna/Downloads/20210910_032600.WAV
33.7955,33.8104,25468.0,32684.0,Echolocation,0.519,/Users/adityakrishna/Downloads/20210910_032600.WAV
33.8895,33.9022,24609.0,33076.0,Echolocation,0.6,/Users/adityakrishna/Downloads/20210910_032600.WAV
34.0355,34.048,24609.0,30069.0,Echolocation,0.639,/Users/adityakrishna/Downloads/20210910_032600.WAV
34.1355,34.1497,24609.0,31177.0,Echolocation,0.698,/Users/adityakrishna/Downloads/20210910_032600.WAV
34.2515,34.2605,27187.0,34726.0,Echolocation,0.553,/Users/adityakrishna/Downloads/20210910_032600.WAV
34.3115,34.3268,24609.0,30225.0,Echolocation,0.595,/Users/adityakrishna/Downloads/20210910_032600.WAV
34.3835,34.3984,24609.0,31868.0,Echolocation,0.602,/Users/adityakrishna/Downloads/20210910_032600.WAV
34.4295,34.444,24609.0,33476.0,Echolocation,0.616,/Users/adityakrishna/Downloads/20210910_032600.WAV
34.5245,34.5394,24609.0,32753.0,Echolocation,0.678,/Users/adityakrishna/Downloads/20210910_032600.WAV
34.6695,34.683,24609.0,30806.0,Echolocation,0.694,/Users/adityakrishna/Downloads/20210910_032600.WAV
34.7125,34.7257,26328.0,33811.0,Echolocation,0.596,/Users/adityakrishna/Downloads/20210910_032600.WAV
34.8615,34.8749,26328.0,31716.0,Echolocation,0.51,/Users/adityakrishna/Downloads/20210910_032600.WAV
35.0865,35.1025,23750.0,30570.0,Echolocation,0.696,/Users/adityakrishna/Downloads/20210910_032600.WAV
35.2485,35.2613,24609.0,30571.0,Echolocation,0.698,/Users/adityakrishna/Downloads/20210910_032600.WAV
35.3425,35.3518,27187.0,33072.0,Echolocation,0.653,/Users/adityakrishna/Downloads/20210910_032600.WAV
35.6535,35.6664,25468.0,34043.0,Echolocation,0.699,/Users/adityakrishna/Downloads/20210910_032600.WAV
35.7815,35.797,24609.0,30922.0,Echolocation,0.533,/Users/adityakrishna/Downloads/20210910_032600.WAV
35.7995,35.8135,25468.0,32268.0,Echolocation,0.618,/Users/adityakrishna/Downloads/20210910_032600.WAV
35.9695,35.984899999999996,25468.0,34222.0,Echolocation,0.62,/Users/adityakrishna/Downloads/20210910_032600.WAV
36.1325,36.146,25468.0,34339.0,Echolocation,0.677,/Users/adityakrishna/Downloads/20210910_032600.WAV
36.161500000000004,36.1739,25468.0,32952.0,Echolocation,0.547,/Users/adityakrishna/Downloads/20210910_032600.WAV
36.3085,36.3238,24609.0,29654.0,Echolocation,0.655,/Users/adityakrishna/Downloads/20210910_032600.WAV
36.414500000000004,36.4285,24609.0,30549.0,Echolocation,0.686,/Users/adityakrishna/Downloads/20210910_032600.WAV
36.6815,36.6939,25468.0,36086.0,Echolocation,0.667,/Users/adityakrishna/Downloads/20210910_032600.WAV
36.8315,36.8477,24609.0,30378.0,Echolocation,0.539,/Users/adityakrishna/Downloads/20210910_032600.WAV
37.0805,37.0947,24609.0,34760.0,Echolocation,0.677,/Users/adityakrishna/Downloads/20210910_032600.WAV
